Call site: 0x43a828; Identifier: nvram_bufset; Key: SSID1; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x43a80c
  [0] Call site: 0x455b44; Identifier: nvram_safe_get; Key: wan_wan0_pppoe_passwd; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x455b28
Call site: 0x45788c; Identifier: nvram_safe_set; Key: wan_wan0_pppoe_passwd; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x457874
  [0] Call site: 0x455b44; Identifier: nvram_safe_get; Key: wan_wan0_pppoe_passwd; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x455b28
Call site: 0x452784; Identifier: nvram_safe_set; Key: url_filter_rule; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x452764
  [0] Call site: 0x451ef4; Identifier: nvram_safe_get; Key: url_filter_rule; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x451ed8
  [1] Call site: 0x41b3e4; Identifier: nvram_safe_get; Key: url_filter_rule; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/lib/librcm.so; Block Addr: 0x41b3d0
Call site: 0x451ef4; Identifier: nvram_safe_get; Key: url_filter_rule; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x451ed8
  [0] Call site: 0x452784; Identifier: nvram_safe_set; Key: url_filter_rule; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x452764
Call site: 0x433724; Identifier: nvram_safe_set; Key: lan0_ipaddr; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x43370c
  [1] Call site: 0x4237d0; Identifier: nvram_safe_get; Key: lan0_ipaddr; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/rc; Block Addr: 0x4237b4
  [1] Call site: 0x430e24; Identifier: nvram_safe_get; Key: lan0_ipaddr; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/rc; Block Addr: 0x430e08
  [1] Call site: 0x420c64; Identifier: nvram_safe_get; Key: lan0_ipaddr; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/lib/librcm.so; Block Addr: 0x420c50
  [1] Call site: 0x419560; Identifier: nvram_safe_get; Key: lan0_ipaddr; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/lib/librcm.so; Block Addr: 0x419520
  [1] Call site: 0x43f9f0; Identifier: nvram_safe_get; Key: lan0_ipaddr; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/rc; Block Addr: 0x43f9d0
  [0] Call site: 0x45d9a8; Identifier: nvram_safe_get; Key: lan0_ipaddr; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x45d974
  [0] Call site: 0x4331b8; Identifier: nvram_safe_get; Key: lan0_ipaddr; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x433198
  [0] Call site: 0x4512a8; Identifier: nvram_safe_get; Key: lan0_ipaddr; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x451290
  [1] Call site: 0x415bb0; Identifier: nvram_safe_get; Key: lan0_ipaddr; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/lib/librcm.so; Block Addr: 0x415b9c
  [0] Call site: 0x434a90; Identifier: nvram_safe_get; Key: lan0_ipaddr; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x434a48
  [0] Call site: 0x432bac; Identifier: nvram_safe_get; Key: lan0_ipaddr; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x432b64
  [1] Call site: 0x42fb04; Identifier: nvram_safe_get; Key: lan0_ipaddr; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/rc; Block Addr: 0x42faf0
  [1] Call site: 0x422724; Identifier: nvram_safe_get; Key: lan0_ipaddr; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/rc; Block Addr: 0x422710
  [1] Call site: 0x43809c; Identifier: nvram_safe_get; Key: lan0_ipaddr; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/rc; Block Addr: 0x438080
  [1] Call site: 0x41a7a8; Identifier: nvram_safe_get; Key: lan0_ipaddr; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/lib/librcm.so; Block Addr: 0x41a794
  [1] Call site: 0x42c4ac; Identifier: nvram_safe_get; Key: lan0_ipaddr; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/lib/librcm.so; Block Addr: 0x42c4a0
Call site: 0x432bac; Identifier: nvram_safe_get; Key: lan0_ipaddr; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x432b64
  [0] Call site: 0x433724; Identifier: nvram_safe_set; Key: lan0_ipaddr; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x43370c
Call site: 0x4331b8; Identifier: nvram_safe_get; Key: lan0_ipaddr; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x433198
  [0] Call site: 0x433724; Identifier: nvram_safe_set; Key: lan0_ipaddr; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x43370c
Call site: 0x434a90; Identifier: nvram_safe_get; Key: lan0_ipaddr; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x434a48
  [0] Call site: 0x433724; Identifier: nvram_safe_set; Key: lan0_ipaddr; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x43370c
Call site: 0x4512a8; Identifier: nvram_safe_get; Key: lan0_ipaddr; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x451290
  [0] Call site: 0x433724; Identifier: nvram_safe_set; Key: lan0_ipaddr; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x43370c
Call site: 0x45d9a8; Identifier: nvram_safe_get; Key: lan0_ipaddr; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x45d974
  [0] Call site: 0x433724; Identifier: nvram_safe_set; Key: lan0_ipaddr; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x43370c
Call site: 0x43478c; Identifier: nvram_safe_set; Key: lan0_upnp; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x434770
  [0] Call site: 0x434044; Identifier: nvram_safe_get; Key: lan0_upnp; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x434004
  [1] Call site: 0x437ff0; Identifier: nvram_safe_get; Key: lan0_upnp; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/rc; Block Addr: 0x437fd8
  [1] Call site: 0x420f4c; Identifier: nvram_safe_get; Key: lan0_upnp; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/lib/librcm.so; Block Addr: 0x420f38
  [1] Call site: 0x420440; Identifier: nvram_safe_get; Key: lan0_upnp; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/lib/librcm.so; Block Addr: 0x42042c
  [1] Call site: 0x421c2c; Identifier: nvram_safe_get; Key: lan0_upnp; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/lib/librcm.so; Block Addr: 0x421c20
  [0] Call site: 0x434300; Identifier: nvram_safe_get; Key: lan0_upnp; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x4342ec
Call site: 0x434044; Identifier: nvram_safe_get; Key: lan0_upnp; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x434004
  [0] Call site: 0x43478c; Identifier: nvram_safe_set; Key: lan0_upnp; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x434770
Call site: 0x434300; Identifier: nvram_safe_get; Key: lan0_upnp; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x4342ec
  [0] Call site: 0x43478c; Identifier: nvram_safe_set; Key: lan0_upnp; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x434770
Call site: 0x42e5d8; Identifier: nvram_safe_set; Key: remotemange_https_port; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x42e5c0
  [1] Call site: 0x42c308; Identifier: nvram_safe_get; Key: remotemange_https_port; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/lib/librcm.so; Block Addr: 0x42c2f4
  [0] Call site: 0x42df5c; Identifier: nvram_safe_get; Key: remotemange_https_port; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x42df40
Call site: 0x42df5c; Identifier: nvram_safe_get; Key: remotemange_https_port; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x42df40
  [0] Call site: 0x42e5d8; Identifier: nvram_safe_set; Key: remotemange_https_port; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x42e5c0
Call site: 0x42ee68; Identifier: nvram_safe_set; Key: SysLogRemote_IPAddress; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x42ee4c
  [0] Call site: 0x42eb7c; Identifier: nvram_safe_get; Key: SysLogRemote_IPAddress; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x42eb68
  [0] Call site: 0x42edcc; Identifier: nvram_safe_get; Key: SysLogRemote_IPAddress; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x42edac
  [1] Call site: 0x442580; Identifier: nvram_safe_get; Key: SysLogRemote_IPAddress; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/rc; Block Addr: 0x442564
Call site: 0x42eb7c; Identifier: nvram_safe_get; Key: SysLogRemote_IPAddress; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x42eb68
  [0] Call site: 0x42f7a8; Identifier: nvram_safe_set; Key: SysLogRemote_IPAddress; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x42f790
  [0] Call site: 0x42ee68; Identifier: nvram_safe_set; Key: SysLogRemote_IPAddress; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x42ee4c
Call site: 0x42edcc; Identifier: nvram_safe_get; Key: SysLogRemote_IPAddress; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x42edac
  [0] Call site: 0x42f7a8; Identifier: nvram_safe_set; Key: SysLogRemote_IPAddress; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x42f790
  [0] Call site: 0x42ee68; Identifier: nvram_safe_set; Key: SysLogRemote_IPAddress; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x42ee4c
Call site: 0x42f7a8; Identifier: nvram_safe_set; Key: SysLogRemote_IPAddress; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x42f790
  [0] Call site: 0x42eb7c; Identifier: nvram_safe_get; Key: SysLogRemote_IPAddress; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x42eb68
  [0] Call site: 0x42edcc; Identifier: nvram_safe_get; Key: SysLogRemote_IPAddress; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x42edac
  [1] Call site: 0x442580; Identifier: nvram_safe_get; Key: SysLogRemote_IPAddress; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/rc; Block Addr: 0x442564
Call site: 0x434808; Identifier: nvram_safe_set; Key: lan0_wanport_speed; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x4347f0
  [0] Call site: 0x4342a4; Identifier: nvram_safe_get; Key: lan0_wanport_speed; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x43426c
  [1] Call site: 0x441f08; Identifier: nvram_safe_get; Key: lan0_wanport_speed; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/rc; Block Addr: 0x441ee0
  [0] Call site: 0x433e48; Identifier: nvram_safe_get; Key: lan0_wanport_speed; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x433e30
Call site: 0x433e48; Identifier: nvram_safe_get; Key: lan0_wanport_speed; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x433e30
  [0] Call site: 0x434808; Identifier: nvram_safe_set; Key: lan0_wanport_speed; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x4347f0
Call site: 0x4342a4; Identifier: nvram_safe_get; Key: lan0_wanport_speed; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x43426c
  [0] Call site: 0x434808; Identifier: nvram_safe_set; Key: lan0_wanport_speed; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x4347f0
Call site: 0x468c50; Identifier: nvram_safe_set; Key: lan0_ipv6_route_lifetime; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x468c38
  [0] Call site: 0x46d55c; Identifier: nvram_safe_get; Key: lan0_ipv6_route_lifetime; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x46d540
  [0] Call site: 0x46ce4c; Identifier: nvram_safe_get; Key: lan0_ipv6_route_lifetime; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x46ce30
  [0] Call site: 0x46ae3c; Identifier: nvram_safe_get; Key: lan0_ipv6_route_lifetime; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x46ae20
  [0] Call site: 0x4692d0; Identifier: nvram_safe_get; Key: lan0_ipv6_route_lifetime; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x4692b4
  [0] Call site: 0x472390; Identifier: nvram_safe_get; Key: lan0_ipv6_route_lifetime; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x472374
  [0] Call site: 0x4705a0; Identifier: nvram_safe_get; Key: lan0_ipv6_route_lifetime; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x470584
  [0] Call site: 0x472024; Identifier: nvram_safe_get; Key: lan0_ipv6_route_lifetime; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x472008
  [0] Call site: 0x46b1c0; Identifier: nvram_safe_get; Key: lan0_ipv6_route_lifetime; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x46b1a4
  [0] Call site: 0x4740bc; Identifier: nvram_safe_get; Key: lan0_ipv6_route_lifetime; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x4740a0
  [0] Call site: 0x469660; Identifier: nvram_safe_get; Key: lan0_ipv6_route_lifetime; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x469644
  [0] Call site: 0x4700c8; Identifier: nvram_safe_get; Key: lan0_ipv6_route_lifetime; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x4700ac
  [0] Call site: 0x4676b0; Identifier: nvram_safe_get; Key: lan0_ipv6_route_lifetime; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x467694
  [0] Call site: 0x473bb0; Identifier: nvram_safe_get; Key: lan0_ipv6_route_lifetime; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x473b94
  [0] Call site: 0x467a34; Identifier: nvram_safe_get; Key: lan0_ipv6_route_lifetime; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x467a18
Call site: 0x4676b0; Identifier: nvram_safe_get; Key: lan0_ipv6_route_lifetime; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x467694
  [0] Call site: 0x475588; Identifier: nvram_safe_set; Key: lan0_ipv6_route_lifetime; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x475570
  [0] Call site: 0x46ee64; Identifier: nvram_safe_set; Key: lan0_ipv6_route_lifetime; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x46ee4c
  [0] Call site: 0x468c50; Identifier: nvram_safe_set; Key: lan0_ipv6_route_lifetime; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x468c38
  [0] Call site: 0x4733a0; Identifier: nvram_safe_set; Key: lan0_ipv6_route_lifetime; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x473388
  [0] Call site: 0x4719f4; Identifier: nvram_safe_set; Key: lan0_ipv6_route_lifetime; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x4719dc
  [0] Call site: 0x46c3b4; Identifier: nvram_safe_set; Key: lan0_ipv6_route_lifetime; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x46c39c
  [0] Call site: 0x46a7e4; Identifier: nvram_safe_set; Key: lan0_ipv6_route_lifetime; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x46a7cc
  [0] Call site: 0x46f818; Identifier: nvram_safe_set; Key: lan0_ipv6_route_lifetime; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x46f800
Call site: 0x467a34; Identifier: nvram_safe_get; Key: lan0_ipv6_route_lifetime; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x467a18
  [0] Call site: 0x475588; Identifier: nvram_safe_set; Key: lan0_ipv6_route_lifetime; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x475570
  [0] Call site: 0x46ee64; Identifier: nvram_safe_set; Key: lan0_ipv6_route_lifetime; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x46ee4c
  [0] Call site: 0x468c50; Identifier: nvram_safe_set; Key: lan0_ipv6_route_lifetime; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x468c38
  [0] Call site: 0x4733a0; Identifier: nvram_safe_set; Key: lan0_ipv6_route_lifetime; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x473388
  [0] Call site: 0x4719f4; Identifier: nvram_safe_set; Key: lan0_ipv6_route_lifetime; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x4719dc
  [0] Call site: 0x46c3b4; Identifier: nvram_safe_set; Key: lan0_ipv6_route_lifetime; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x46c39c
  [0] Call site: 0x46a7e4; Identifier: nvram_safe_set; Key: lan0_ipv6_route_lifetime; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x46a7cc
  [0] Call site: 0x46f818; Identifier: nvram_safe_set; Key: lan0_ipv6_route_lifetime; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x46f800
Call site: 0x4692d0; Identifier: nvram_safe_get; Key: lan0_ipv6_route_lifetime; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x4692b4
  [0] Call site: 0x475588; Identifier: nvram_safe_set; Key: lan0_ipv6_route_lifetime; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x475570
  [0] Call site: 0x46ee64; Identifier: nvram_safe_set; Key: lan0_ipv6_route_lifetime; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x46ee4c
  [0] Call site: 0x468c50; Identifier: nvram_safe_set; Key: lan0_ipv6_route_lifetime; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x468c38
  [0] Call site: 0x4733a0; Identifier: nvram_safe_set; Key: lan0_ipv6_route_lifetime; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x473388
  [0] Call site: 0x4719f4; Identifier: nvram_safe_set; Key: lan0_ipv6_route_lifetime; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x4719dc
  [0] Call site: 0x46c3b4; Identifier: nvram_safe_set; Key: lan0_ipv6_route_lifetime; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x46c39c
  [0] Call site: 0x46a7e4; Identifier: nvram_safe_set; Key: lan0_ipv6_route_lifetime; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x46a7cc
  [0] Call site: 0x46f818; Identifier: nvram_safe_set; Key: lan0_ipv6_route_lifetime; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x46f800
Call site: 0x469660; Identifier: nvram_safe_get; Key: lan0_ipv6_route_lifetime; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x469644
  [0] Call site: 0x475588; Identifier: nvram_safe_set; Key: lan0_ipv6_route_lifetime; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x475570
  [0] Call site: 0x46ee64; Identifier: nvram_safe_set; Key: lan0_ipv6_route_lifetime; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x46ee4c
  [0] Call site: 0x468c50; Identifier: nvram_safe_set; Key: lan0_ipv6_route_lifetime; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x468c38
  [0] Call site: 0x4733a0; Identifier: nvram_safe_set; Key: lan0_ipv6_route_lifetime; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x473388
  [0] Call site: 0x4719f4; Identifier: nvram_safe_set; Key: lan0_ipv6_route_lifetime; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x4719dc
  [0] Call site: 0x46c3b4; Identifier: nvram_safe_set; Key: lan0_ipv6_route_lifetime; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x46c39c
  [0] Call site: 0x46a7e4; Identifier: nvram_safe_set; Key: lan0_ipv6_route_lifetime; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x46a7cc
  [0] Call site: 0x46f818; Identifier: nvram_safe_set; Key: lan0_ipv6_route_lifetime; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x46f800
Call site: 0x46ae3c; Identifier: nvram_safe_get; Key: lan0_ipv6_route_lifetime; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x46ae20
  [0] Call site: 0x475588; Identifier: nvram_safe_set; Key: lan0_ipv6_route_lifetime; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x475570
  [0] Call site: 0x46ee64; Identifier: nvram_safe_set; Key: lan0_ipv6_route_lifetime; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x46ee4c
  [0] Call site: 0x468c50; Identifier: nvram_safe_set; Key: lan0_ipv6_route_lifetime; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x468c38
  [0] Call site: 0x4733a0; Identifier: nvram_safe_set; Key: lan0_ipv6_route_lifetime; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x473388
  [0] Call site: 0x4719f4; Identifier: nvram_safe_set; Key: lan0_ipv6_route_lifetime; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x4719dc
  [0] Call site: 0x46c3b4; Identifier: nvram_safe_set; Key: lan0_ipv6_route_lifetime; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x46c39c
  [0] Call site: 0x46a7e4; Identifier: nvram_safe_set; Key: lan0_ipv6_route_lifetime; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x46a7cc
  [0] Call site: 0x46f818; Identifier: nvram_safe_set; Key: lan0_ipv6_route_lifetime; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x46f800
Call site: 0x46b1c0; Identifier: nvram_safe_get; Key: lan0_ipv6_route_lifetime; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x46b1a4
  [0] Call site: 0x475588; Identifier: nvram_safe_set; Key: lan0_ipv6_route_lifetime; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x475570
  [0] Call site: 0x46ee64; Identifier: nvram_safe_set; Key: lan0_ipv6_route_lifetime; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x46ee4c
  [0] Call site: 0x468c50; Identifier: nvram_safe_set; Key: lan0_ipv6_route_lifetime; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x468c38
