Call site: 0x43d92c; Identifier: nvram_safe_set; Key: wan_wan0_pppoe_autoreconn; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x43d914
  [0] Call site: 0x474090; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x474078
Call site: 0x4766d0; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x4766b4
  [0] Call site: 0x47904c; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x479034
  [0] Call site: 0x47cb84; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x47cb6c
  [0] Call site: 0x47ed44; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x47ed2c
  [0] Call site: 0x475c38; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x475c20
  [0] Call site: 0x4786c0; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x4786a8
  [0] Call site: 0x4724d4; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x4724bc
  [0] Call site: 0x47b200; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x47b1e8
  [0] Call site: 0x474090; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x474078
Call site: 0x476de0; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x476dc4
  [0] Call site: 0x47904c; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x479034
  [0] Call site: 0x47cb84; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x47cb6c
  [0] Call site: 0x47ed44; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x47ed2c
  [0] Call site: 0x475c38; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x475c20
  [0] Call site: 0x4786c0; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x4786a8
  [0] Call site: 0x4724d4; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x4724bc
  [0] Call site: 0x47b200; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x47b1e8
  [0] Call site: 0x474090; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x474078
Call site: 0x4798fc; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x4798e0
  [0] Call site: 0x47904c; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x479034
  [0] Call site: 0x47cb84; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x47cb6c
  [0] Call site: 0x47ed44; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x47ed2c
  [0] Call site: 0x475c38; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x475c20
  [0] Call site: 0x4786c0; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x4786a8
  [0] Call site: 0x4724d4; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x4724bc
  [0] Call site: 0x47b200; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x47b1e8
  [0] Call site: 0x474090; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x474078
Call site: 0x479dd4; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x479db8
  [0] Call site: 0x47904c; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x479034
  [0] Call site: 0x47cb84; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x47cb6c
  [0] Call site: 0x47ed44; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x47ed2c
  [0] Call site: 0x475c38; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x475c20
  [0] Call site: 0x4786c0; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x4786a8
  [0] Call site: 0x4724d4; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x4724bc
  [0] Call site: 0x47b200; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x47b1e8
  [0] Call site: 0x474090; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x474078
Call site: 0x47b830; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x47b814
  [0] Call site: 0x47904c; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x479034
  [0] Call site: 0x47cb84; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x47cb6c
  [0] Call site: 0x47ed44; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x47ed2c
  [0] Call site: 0x475c38; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x475c20
  [0] Call site: 0x4786c0; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x4786a8
  [0] Call site: 0x4724d4; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x4724bc
  [0] Call site: 0x47b200; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x47b1e8
  [0] Call site: 0x474090; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x474078
Call site: 0x47bb9c; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x47bb80
  [0] Call site: 0x47904c; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x479034
  [0] Call site: 0x47cb84; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x47cb6c
  [0] Call site: 0x47ed44; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x47ed2c
  [0] Call site: 0x475c38; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x475c20
  [0] Call site: 0x4786c0; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x4786a8
  [0] Call site: 0x4724d4; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x4724bc
  [0] Call site: 0x47b200; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x47b1e8
  [0] Call site: 0x474090; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x474078
Call site: 0x47d394; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x47d378
  [0] Call site: 0x47904c; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x479034
  [0] Call site: 0x47cb84; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x47cb6c
  [0] Call site: 0x47ed44; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x47ed2c
  [0] Call site: 0x475c38; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x475c20
  [0] Call site: 0x4786c0; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x4786a8
  [0] Call site: 0x4724d4; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x4724bc
  [0] Call site: 0x47b200; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x47b1e8
  [0] Call site: 0x474090; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x474078
Call site: 0x47d8a0; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x47d884
  [0] Call site: 0x47904c; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x479034
  [0] Call site: 0x47cb84; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x47cb6c
  [0] Call site: 0x47ed44; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x47ed2c
  [0] Call site: 0x475c38; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x475c20
  [0] Call site: 0x4786c0; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x4786a8
  [0] Call site: 0x4724d4; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x4724bc
  [0] Call site: 0x47b200; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x47b1e8
  [0] Call site: 0x474090; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x474078
Call site: 0x474090; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x474078
  [0] Call site: 0x4746e8; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x4746cc
  [0] Call site: 0x472ef0; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x472ed4
  [0] Call site: 0x4712e0; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x4712c4
  [0] Call site: 0x47d8a0; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x47d884
  [0] Call site: 0x476de0; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x476dc4
  [0] Call site: 0x4798fc; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x4798e0
  [0] Call site: 0x470f5c; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x470f40
  [0] Call site: 0x472b60; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x472b44
  [0] Call site: 0x47b830; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x47b814
  [0] Call site: 0x479dd4; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x479db8
  [0] Call site: 0x47d394; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x47d378
  [1] Call site: 0x4391a4; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/rc; Block Addr: 0x43918c
  [0] Call site: 0x47bb9c; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x47bb80
  [0] Call site: 0x4766d0; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x4766b4
  [0] Call site: 0x474a6c; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x474a50
Call site: 0x475c38; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x475c20
  [0] Call site: 0x4746e8; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x4746cc
  [0] Call site: 0x472ef0; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x472ed4
  [0] Call site: 0x4712e0; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x4712c4
  [0] Call site: 0x47d8a0; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x47d884
  [0] Call site: 0x476de0; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x476dc4
  [0] Call site: 0x4798fc; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x4798e0
  [0] Call site: 0x470f5c; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x470f40
  [0] Call site: 0x472b60; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x472b44
  [0] Call site: 0x47b830; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x47b814
  [0] Call site: 0x479dd4; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x479db8
  [0] Call site: 0x47d394; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x47d378
  [1] Call site: 0x4391a4; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/rc; Block Addr: 0x43918c
  [0] Call site: 0x47bb9c; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x47bb80
  [0] Call site: 0x4766d0; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x4766b4
  [0] Call site: 0x474a6c; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x474a50
Call site: 0x4786c0; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x4786a8
  [0] Call site: 0x4746e8; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x4746cc
  [0] Call site: 0x472ef0; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x472ed4
  [0] Call site: 0x4712e0; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x4712c4
  [0] Call site: 0x47d8a0; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x47d884
  [0] Call site: 0x476de0; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x476dc4
  [0] Call site: 0x4798fc; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x4798e0
  [0] Call site: 0x470f5c; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x470f40
  [0] Call site: 0x472b60; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x472b44
  [0] Call site: 0x47b830; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x47b814
  [0] Call site: 0x479dd4; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x479db8
  [0] Call site: 0x47d394; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x47d378
  [1] Call site: 0x4391a4; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/rc; Block Addr: 0x43918c
  [0] Call site: 0x47bb9c; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x47bb80
  [0] Call site: 0x4766d0; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x4766b4
  [0] Call site: 0x474a6c; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x474a50
Call site: 0x47904c; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x479034
  [0] Call site: 0x4746e8; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x4746cc
  [0] Call site: 0x472ef0; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x472ed4
  [0] Call site: 0x4712e0; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x4712c4
  [0] Call site: 0x47d8a0; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x47d884
  [0] Call site: 0x476de0; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x476dc4
  [0] Call site: 0x4798fc; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x4798e0
  [0] Call site: 0x470f5c; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x470f40
  [0] Call site: 0x472b60; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x472b44
  [0] Call site: 0x47b830; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_start; File: /home/firmware/N-day_dataset/D-Link/DIR-882/cpio-root/bin/prog.cgi; Block Addr: 0x47b814
